"Sex","DateTime","state_manual","BirdID"
"M","15/02/2013 05:58","Travel",201313
"M","15/02/2013 06:13","Travel",201313
"M","15/02/2013 06:28","Travel",201313
"M","15/02/2013 06:43","Travel",201313
"M","15/02/2013 06:58","Search",201313
"M","15/02/2013 07:13","Search",201313
"M","15/02/2013 07:28","Search",201313
"M","15/02/2013 07:43","Search",201313
"M","15/02/2013 07:58","Search",201313
"M","15/02/2013 08:13","Search",201313
"M","15/02/2013 08:28","Search",201313
"M","15/02/2013 08:43","Search",201313
"M","15/02/2013 08:58","Search",201313
"M","15/02/2013 09:13","Search",201313
"M","15/02/2013 09:28","Search",201313
"M","15/02/2013 09:43","Search",201313
"M","15/02/2013 09:58","Search",201313
"M","15/02/2013 10:13","Rest",201313
"M","15/02/2013 10:28","Rest",201313
"M","15/02/2013 10:43","Search",201313
"M","15/02/2013 10:58","Search",201313
"M","15/02/2013 11:13","Search",201313
"M","15/02/2013 11:28","Search",201313
"M","15/02/2013 11:43","Search",201313
"M","15/02/2013 11:58","Travel",201313
"M","15/02/2013 12:13","Travel",201313
"M","15/02/2013 12:28","Travel",201313
"M","15/02/2013 12:43","Travel",201313
"M","15/02/2013 12:58","Search",201313
"M","15/02/2013 13:13","Travel",201313
"M","15/02/2013 13:28","Travel",201313
"M","15/02/2013 13:43","Travel",201313
"M","15/02/2013 13:58","Search",201313
"M","15/02/2013 14:13","Search",201313
"M","15/02/2013 14:28","Search",201313
"M","15/02/2013 14:43","Search",201313
"M","15/02/2013 14:58","Search",201313
"M","15/02/2013 15:13","Search",201313
"M","15/02/2013 15:28","Rest",201313
"M","15/02/2013 15:43","Rest",201313
"M","15/02/2013 15:58","Rest",201313
"M","15/02/2013 16:13","Rest",201313
